,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
1675,Torino FC,midfield-CentralMidfield,187.0,19.0,51,0.296229803,0.080789946,0.350089767,0.0,0.026929982,0.0,0.0,3342,0,0,2,500000,500000
1676,Torino FC,midfield-CentralMidfield,187.0,22.0,48,0.106846063,0.035615354,0.178076771,0.0,0.0,0.0,0.0,2527,221,19,2,400000,400000
1677,Torino FC,midfield-AttackingMidfield,178.0,25.0,73,0.116959064,0.214424951,0.019493177,0.0,0.0,0.0,0.0,4617,84,15,1,20000000,30000000
1680,Torino FC,Attack-LeftWinger,185.0,24.0,58,0.322452229,0.107484076,0.179140127,0.0,0.035828025,0.0,0.0,2512,227,36,0,3000000,10000000
1682,Torino FC,Attack Centre-Forward,181.0,27.0,65,0.360721443,0.180360721,0.140280561,0.0,0.0,0.0,0.0,4491,472,62,1,7000000,10000000
1687,Udinese Calcio,Defender Centre-Back,190.0,24.0,63,0.066877206,0.083596508,0.167193015,0.0,0.0,0.0,0.0,5383,60,11,1,10000000,10000000
1688,Udinese Calcio,Defender Centre-Back,191.0,27.0,64,0.062728698,0.031364349,0.345007841,0.0,0.015682175,0.0,0.0,5739,108,15,1,10000000,10000000
1689,Udinese Calcio,Defender Centre-Back,184.0,22.0,58,0.073484385,0.018371096,0.293937538,0.0,0.018371096,0.0,0.0,4899,48,5,0,8000000,8000000
1690,Udinese Calcio,Defender Centre-Back,185.0,24.0,50,0.0,0.0,0.116997075,0.0,0.0,0.0,0.0,3077,337,46,0,4500000,4500000
1691,Udinese Calcio,Defender Centre-Back,184.0,18.0,40,0.10230179,0.051150895,0.204603581,0.0,0.025575448,0.0,0.0,3519,0,0,0,300000,300000
1693,Udinese Calcio,Defender Left-Back,188.0,20.0,71,0.13215859,0.115638767,0.148678414,0.0,0.0,0.0,0.0,5448,136,15,0,22000000,22000000
1698,Udinese Calcio,Defender Right-Back,189.0,28.0,49,0.071456927,0.035728464,0.321556173,0.0,0.0,0.0,0.0,2519,133,7,0,2300000,2500000
1699,Udinese Calcio,midfield-DefensiveMidfield,188.0,28.0,75,0.014170997,0.014170997,0.17005196,0.0,0.014170997,0.0,0.0,6351,101,13,2,7000000,14000000
1700,Udinese Calcio,midfield-CentralMidfield,180.0,25.0,78,0.155172414,0.201724138,0.139655172,0.0,0.0,0.0,0.0,5800,129,21,2,7000000,7000000
1701,Udinese Calcio,midfield-CentralMidfield,182.0,32.0,61,0.18734388,0.28101582,0.28101582,0.018734388,0.0,0.0,0.0,4804,534,85,5,6500000,17000000
1702,Udinese Calcio,midfield-CentralMidfield,180.0,32.0,70,0.058919804,0.058919804,0.382978723,0.0,0.0,0.0,0.0,3055,457,58,3,2000000,7500000
1703,Udinese Calcio,midfield-AttackingMidfield,184.0,21.0,63,0.244186047,0.244186047,0.034883721,0.0,0.0,0.0,0.0,2580,227,21,1,7500000,7500000
1706,Udinese Calcio,Attack Centre-Forward,194.0,25.0,68,0.430980637,0.037476577,0.093691443,0.0,0.0,0.0,0.0,4803,72,14,0,13000000,13000000
1707,Udinese Calcio,Attack Centre-Forward,177.0,29.0,53,0.361355082,0.271016311,0.271016311,0.0,0.0,0.0,0.0,3985,779,83,6,13000000,25000000
1715,Bologna FC 1909,Defender Centre-Back,187.0,24.0,74,0.014705882,0.029411765,0.191176471,0.0,0.0,0.0,0.0,6120,50,11,3,9000000,13000000
